Bill.com Entity,Bill.com Object ID,Bill.com Line ID,NetSuite Record ID,NetSuite Sublist ID,NetSuite Line ID
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02LTCLCWXUXB308dx,3565561,item,11
PurchaseOrder,pur02WHAJEJRSAXAezi0,pol02IDHIQJDGGU308dy,3565561,item,12
PurchaseOrder,pur02FDEAYJQVDVYezi1,pol02KQDEMZWYFI308dz,89355,item,1
PurchaseOrder,pur02FDEAYJQVDVYezi1,pol02WTZHGFJDJJ308e0,89355,item,2
PurchaseOrder,pur02CIMQPMOIFFGezi2,pol02JPEGUCBYKF308e1,4515166,item,1
PurchaseOrder,pur02CIMQPMOIFFGezi2,pol02KYALPSXFYH308e2,4515166,item,2
PurchaseOrder,pur02CIMQPMOIFFGezi2,pol02KNFUEFPTKE308e3,4515166,item,3
PurchaseOrder,pur02CIMQPMOIFFGezi2,pol02WQDJFKUZRQ308e4,4515166,item,4
PurchaseOrder,pur02BOESABOFYCAezi3,pol02QXUUHKMPNY308e5,3478613,item,1
PurchaseOrder,pur02BOESABOFYCAezi3,pol02JNPFXZKFQJ308e6,3478613,item,2
PurchaseOrder,pur02BOESABOFYCAezi3,pol02VTHPSIKLMU308e7,3478613,item,3
PurchaseOrder,pur02BOESABOFYCAezi3,pol02HPKNHRKSNH308e8,3478613,item,4
PurchaseOrder,pur02ZOFGSFWPVXXezi4,pol02KAEUFISTOC308ea,3495026,item,1
PurchaseOrder,pur02ZOFGSFWPVXXezi4,pol02KBEHZOEVMC308eb,3495026,item,2
PurchaseOrder,pur02AYDBSHSFFALezi5,pol02FTCTINNACK308ec,3772636,item,1
PurchaseOrder,pur02TDHTJDCHYXHezi6,pol02ZSDUCDKRUK308ed,3979227,item,1
PurchaseOrder,pur02APRMISHMJYYezi7,pol02WUAJFXEJNO308ee,2397408,item,1
PurchaseOrder,pur02DBPNRZNOXHXezi9,pol02MSPQUPUKBM308eg,4142878,item,1
PurchaseOrder,pur02DBPNRZNOXHXezi9,pol02YBMCKXYLWZ308eh,4142878,item,2
PurchaseOrder,pur02EDKASXXCXWLezia,pol02CKXANDZWML308ei,471314,item,1
PurchaseOrder,pur02EDKASXXCXWLezia,pol02YSSZTGYOMO308ej,471314,item,2
PurchaseOrder,pur02EKLDZYYWGCRezib,pol02PZJQQFCAOW308ek,1828220,item,1
PurchaseOrder,pur02EKLDZYYWGCRezib,pol02FHRPODJBSY308el,1828220,item,2
PurchaseOrder,pur02EKLDZYYWGCRezib,pol02TJLAWEUZNB308em,1828220,item,3
PurchaseOrder,pur02UDBJRBEPRRQezid,pol02QANRXAOTBR308eo,89344,item,1
PurchaseOrder,pur02IBVSFXCGJTQezie,pol02EVYYSEGVWK308ep,89350,item,1
PurchaseOrder,pur02JLPFSMDLMGAezif,pol02VLUBXMXLZJ308eq,89361,item,1
PurchaseOrder,pur02ZOGYFSXQXHSezig,pol02TXAIHKDUXH308er,89366,item,1
PurchaseOrder,pur02IHMSTSCNKRZezih,pol02PPGOOYOZAC308et,89373,item,1
PurchaseOrder,pur02SVZXPIXXHLJezii,pol02DWWRUIKOHL308eu,89374,item,1
PurchaseOrder,pur02SVZXPIXXHLJezii,pol02KPBSTGPKQT308ev,89374,item,2
PurchaseOrder,pur02WRVHQYDGRKPezij,pol02TUFMGPBMAY308ew,89386,item,1
PurchaseOrder,pur02YBYGQPZKBKTezik,pol02CMAGXVMBLG308ex,89399,item,1
PurchaseOrder,pur02MUUANLUXHXQezil,pol02TSZKBDLBJG308ey,160696,item,1
PurchaseOrder,pur02MUUANLUXHXQezil,pol02GKLJPUBQBN308ez,160696,item,2
PurchaseOrder,pur02YEVPXSCASSSezim,pol02CIVFQYPMUA308f0,277178,item,1
PurchaseOrder,pur02KOGDTDTXLMJezin,pol02AKCOVEFHIX308f1,288192,item,1
PurchaseOrder,pur02JSLELOCQKLAezio,pol02CBTKIBMYSM308f3,374546,item,1
PurchaseOrder,pur02OPHDUGTTFWSezip,pol02JJBFRQUODP308f4,542956,item,1
PurchaseOrder,pur02OPHDUGTTFWSezip,pol02OLPKERGRFY308f5,542956,item,2
PurchaseOrder,pur02RQXOKQUIZAIeziq,pol02CMHUNEPUGR308f6,609108,item,1
PurchaseOrder,pur02LEANLWYLNWLezir,pol02SQLFYWOAIU308f7,616736,item,1
PurchaseOrder,pur02TYWXGUZZBIWezis,pol02XLRPRRVLNI308f8,638313,item,1
PurchaseOrder,pur02TYWXGUZZBIWezis,pol02GYPVUUPNZR308f9,638313,item,2
PurchaseOrder,pur02FCFQHSBWLCHezit,pol02AETILMOFNQ308fa,728329,item,1
PurchaseOrder,pur02QWGFURYANISeziu,pol02YZRXGTBLGE308fb,802269,item,1
PurchaseOrder,pur02QWGFURYANISeziu,pol02UVPMSUCLKD308fc,802269,item,2
